Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
40	2404407	2404407	2404407	2404407	2404407	2404407	2404407	1024
41	2672064	2672064	2672064	2672064	2672064	2672064	2672064	1024
42	2963811	2963811	2963811	2963811	2963811	2963811	2963811	1024
43	3281816	3281816	3281816	3281816	3281816	3281816	3281816	1024
44	3628440	3628440	3628440	3628440	3628440	3628440	3628440	1024
45	4006261	4006261	4006261	4006261	4006261	4006261	4006261	1024
46	4418086	4418086	4418086	4418086	4418086	4418086	4418086	1024
47	4866975	4866975	4866975	4866975	4866975	4866975	4866975	1024
48	5356264	5356264	5356264	5356264	5356264	5356264	5356264	1024
49	5889589	5889589	5889589	5889589	5889589	5889589	5889589	1024
50	6470913	6470913	6470913	6470913	6470913	6470913	6470913	1024
51	7104556	7104556	7104556	7104556	7104556	7104556	7104556	1024
52	7795227	7795227	7795227	7795227	7795227	7795227	7795227	1024
53	8548059	8548059	8548059	8548059	8548059	8548059	8548059	1024
54	9368646	9368646	9368646	9368646	9368646	9368646	9368646	1024
55	10263085	10263085	10263085	10263085	10263085	10263085	10263085	1024
56	11238024	11238024	11238024	11238024	11238024	11238024	11238024	1024
57	12300707	12300707	12300707	12300707	12300707	12300707	12300707	1024
58	13459032	13459032	13459032	13459032	13459032	13459032	13459032	1024
59	14721606	14721606	14721606	14721606	14721606	14721606	14721606	1024
60	16097812	16097812	16097812	16097812	16097812	16097812	16097812	1024
61	17597876	17597876	17597876	17597876	17597876	17597876	17597876	1024
62	19232946	19232946	19232946	19232946	19232946	19232946	19232946	1024
63	21015173	21015173	21015173	21015173	21015173	21015173	21015173	1024
64	22957800	22957800	22957800	22957800	22957800	22957800	22957800	1024
65	25075263	25075263	25075263	25075263	25075263	25075263	25075263	1024
66	27383298	27383298	27383298	27383298	27383298	27383298	27383298	1024
67	29899056	29899056	29899056	29899056	29899056	29899056	29899056	1024
68	32641232	32641232	32641232	32641232	32641232	32641232	32641232	1024
69	35630204	35630204	35630204	35630204	35630204	35630204	35630204	1024
70	38888183	38888183	38888183	38888183	38888183	38888183	38888183	976
71	42439381	42439381	42439381	42439381	42439381	42439381	42439381	928
72	46310187	46310187	46310187	46310187	46310187	46310187	46310187	880
73	50529365	50529365	50529365	50529365	50529365	50529365	50529365	832
74	55128269	55128269	55128269	55128269	55128269	55128269	55128269	784
75	60141074	60141074	60141074	60141074	60141074	60141074	60141074	736
76	65605032	65605032	65605032	65605032	65605032	65605032	65605032	688
77	71560746	71560746	71560746	71560746	71560746	71560746	71560746	640
78	78052474	78052474	78052474	78052474	78052474	78052474	78052474	592
79	85128458	85128458	85128458	85128458	85128458	85128458	85128458	544
80	92841281	92841281	92841281	92841281	92841281	92841281	92841281	496
81	101248257	101248257	101248257	101248257	101248257	101248257	101248257	448
82	110411861	110411861	110411861	110411861	110411861	110411861	110411861	400
83	120400190	120400190	120400190	120400190	120400190	120400190	120400190	352
84	131287468	131287468	131287468	131287468	131287468	131287468	131287468	304
85	143154602	143154602	143154602	143154602	143154602	143154602	143154602	256
86	156089777	156089777	156089777	156089777	156089777	156089777	156089777	192
87	170189118	170189118	170189118	170189118	170189118	170189118	170189118	144
88	185557400	185557400	185557400	185557400	185557400	185557400	185557400	108
89	202308827	202308827	202308827	202308827	202308827	202308827	202308827	81
90	220567883	220567883	220567883	220567883	220567883	220567883	220567883	61
91	240470254	240470254	240470254	240470254	240470254	240470254	240470254	46
92	262163838	262163838	262163838	262163838	262163838	262163838	262163838	35
93	285809845	285809845	285809845	285809845	285809845	285809845	285809845	26
94	311583992	311583992	311583992	311583992	311583992	311583992	311583992	20
95	339677812	339677812	339677812	339677812	339677812	339677812	339677812	15
96	370300077	370300077	370300077	370300077	370300077	370300077	370300077	11
97	403678345	403678345	403678345	403678345	403678345	403678345	403678345	8
98	440060657	440060657	440060657	440060657	440060657	440060657	440060657	6
99	479717377	479717377	479717377	479717377	479717377	479717377	479717377	5
	
